location,origin_date,target_date,output_type_id,value,output_type,target
Merced,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Merced,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Placer,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,200,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,0,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,1,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,2,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,3,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,4,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,5,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,6,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,8,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,10,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,15,1,cdf,WNV cases
San Joaquin,2024-04-30,2024-05-31,200,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,0,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,1,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,2,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,3,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,4,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,5,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,6,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,8,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,10,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,15,1,cdf,WNV cases
San Bernardino,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Stanislaus,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Solano,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Kern,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Orange,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Tulare,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,0,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,1,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,2,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,3,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,4,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,5,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,6,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Sacramento,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,0,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,1,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,2,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,3,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,4,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,5,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,6,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,8,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,10,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,15,1,cdf,WNV cases
Merced,2024-04-30,2024-06-30,200,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,0,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,1,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,2,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,3,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,4,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,5,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,6,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,8,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,10,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,15,1,cdf,WNV cases
Placer,2024-04-30,2024-06-30,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,0,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,1,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,2,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,3,1,cdf,WNV cases
