location,origin_date,target_date,output_type_id,value,output_type,target
Merced,2024-04-30,2024-05-31,0,0.62112,cdf,WNV cases
Merced,2024-04-30,2024-05-31,1,0.62112,cdf,WNV cases
Merced,2024-04-30,2024-05-31,2,0.62112,cdf,WNV cases
Merced,2024-04-30,2024-05-31,3,0.62112,cdf,WNV cases
Merced,2024-04-30,2024-05-31,4,0.7586,cdf,WNV cases
Merced,2024-04-30,2024-05-31,5,0.7586,cdf,WNV cases
Merced,2024-04-30,2024-05-31,6,0.7586,cdf,WNV cases
Merced,2024-04-30,2024-05-31,8,0.83107,cdf,WNV cases
Merced,2024-04-30,2024-05-31,10,0.83107,cdf,WNV cases
Merced,2024-04-30,2024-05-31,15,0.90765,cdf,WNV cases
Merced,2024-04-30,2024-05-31,200,1.0,cdf,WNV cases
Placer,2024-04-30,2024-05-31,0,0.62114,cdf,WNV cases
Placer,2024-04-30,2024-05-31,1,0.62114,cdf,WNV cases
Placer,2024-04-30,2024-05-31,2,0.62114,cdf,WNV cases
Placer,2024-04-30,2024-05-31,3,0.7587,cdf,WNV cases
Placer,2024-04-30,2024-05-31,4,0.7587,cdf,WNV cases
Placer,2024-04-30,2024-05-31,5,0.83114,cdf,WNV cases
Placer,2024-04-30,2024-05-31,6,0.83114,cdf,WNV cases
Placer,2024-04-30,2024-05-31,8,0.87674,cdf,WNV cases
Placer,2024-04-30,2024-05-31,10,0.9078,cdf,WNV cases
Placer,2024-04-30,2024-05-31,15,0.94596,cdf,WNV cases
Placer,2024-04-30,2024-05-31,200,1.0,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,0,0.62116,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,1,0.7586,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,2,0.83108,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,3,0.8766,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,4,0.90763,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,5,0.92978,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,6,0.94595,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,8,0.96712,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,10,0.97954,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,15,0.99333,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,200,1.0,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,0,0.62111,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,1,0.83108,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,2,0.90774,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,3,0.95801,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,4,0.97411,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,5,0.98702,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,6,0.99168,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,8,0.99715,cdf,WNV cases
Riverside,2024-04-30,2024-05-31,10,0.99899,cdf,WNV cases
