location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-04-30,2024-05-31,0,0.65307,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,1,0.7472,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,2,0.96865,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,3,0.99308,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,4,0.99436,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,5,0.99572,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,6,0.99608,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,8,0.99898,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,10,0.9991,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,15,0.99942,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,200,1.0,cdf,WNV cases
Kern,2024-04-30,2024-05-31,0,0.99695,cdf,WNV cases
Kern,2024-04-30,2024-05-31,1,0.99695,cdf,WNV cases
Kern,2024-04-30,2024-05-31,2,0.99849,cdf,WNV cases
Kern,2024-04-30,2024-05-31,3,0.99997,cdf,WNV cases
Kern,2024-04-30,2024-05-31,4,0.99998,cdf,WNV cases
Kern,2024-04-30,2024-05-31,5,0.99999,cdf,WNV cases
Kern,2024-04-30,2024-05-31,6,0.99999,cdf,WNV cases
Kern,2024-04-30,2024-05-31,8,1.0,cdf,WNV cases
Kern,2024-04-30,2024-05-31,10,1.0,cdf,WNV cases
Kern,2024-04-30,2024-05-31,15,1.0,cdf,WNV cases
Kern,2024-04-30,2024-05-31,200,1.0,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,0,0.97744,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,1,0.99987,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,2,0.9999,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,3,0.99998,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,4,0.99999,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,5,0.99999,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,6,0.99999,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,8,1.0,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,10,1.0,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,15,1.0,cdf,WNV cases
Los Angeles,2024-04-30,2024-05-31,200,1.0,cdf,WNV cases
Merced,2024-04-30,2024-05-31,0,0.69095,cdf,WNV cases
Merced,2024-04-30,2024-05-31,1,0.69936,cdf,WNV cases
