location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-04-30,2024-05-31,0,0.930011416514076,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,1,0.979947315242541,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,2,0.990529874839235,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,3,0.994686368260887,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,4,0.996853306826519,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,5,0.998083042323491,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,6,0.998809832581242,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,8,0.999524247804708,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,10,0.999805114390811,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,15,0.99998225173991,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,0,0.564146596279298,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,1,0.800048335766846,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,2,0.909850577303789,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,3,0.958340361300504,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,4,0.979502937890604,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,5,0.988949314070812,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,6,0.993410930546096,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,8,0.997018813109401,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,10,0.998395847413869,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,15,0.999580996912789,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,0,0.238516656581241,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,1,0.378711276806712,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,2,0.485053899296108,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,3,0.569966934877489,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,4,0.639245229267884,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,5,0.696431902121897,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,6,0.743981889718913,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,8,0.817033665113236,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,10,0.868654431509855,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,15,0.941953625590622,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,0,0.100769130350899,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,1,0.208723201505685,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,2,0.315678542775692,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,3,0.415856050136793,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,4,0.506333588159145,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,5,0.586039546600988,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,6,0.655007827201321,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,8,0.763644755393642,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,10,0.840080489115274,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,15,0.941246503944534,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,0,0.0769084093509821,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,1,0.192468486058636,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,2,0.353836122327928,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,3,0.530114230727777,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,4,0.685064107179177,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,5,0.799717574949715,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,6,0.874160378113661,cdf,WNV cases
