"location","origin_date","target_date","output_type_id","value","output_type","target"
"Orange",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Orange",2024-04-30,2024-06-30,0,0.8,"cdf","WNV cases"
"Orange",2024-04-30,2024-07-31,0,0.5,"cdf","WNV cases"
"Orange",2024-04-30,2024-08-31,0,0.25,"cdf","WNV cases"
"Orange",2024-04-30,2024-09-30,0,0.05,"cdf","WNV cases"
"Orange",2024-04-30,2024-10-31,0,0.7,"cdf","WNV cases"
"Orange",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Orange",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-06-30,0,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-07-31,0,0,"cdf","WNV cases"
"Tulare",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"Tulare",2024-04-30,2024-09-30,0,0,"cdf","WNV cases"
"Tulare",2024-04-30,2024-10-31,0,0,"cdf","WNV cases"
"Tulare",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-05-31,0,0.75,"cdf","WNV cases"
"Solano",2024-04-30,2024-06-30,0,0.6,"cdf","WNV cases"
"Solano",2024-04-30,2024-07-31,0,0.4,"cdf","WNV cases"
"Solano",2024-04-30,2024-08-31,0,0.25,"cdf","WNV cases"
"Solano",2024-04-30,2024-09-30,0,0.25,"cdf","WNV cases"
"Solano",2024-04-30,2024-10-31,0,0.25,"cdf","WNV cases"
"Solano",2024-04-30,2024-11-30,0,0.75,"cdf","WNV cases"
"Solano",2024-04-30,2024-12-31,0,0.9,"cdf","WNV cases"
"Riverside",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Riverside",2024-04-30,2024-06-30,0,1,"cdf","WNV cases"
"Riverside",2024-04-30,2024-07-31,0,0.75,"cdf","WNV cases"
"Riverside",2024-04-30,2024-08-31,0,0.1,"cdf","WNV cases"
"Riverside",2024-04-30,2024-09-30,0,0.5,"cdf","WNV cases"
"Riverside",2024-04-30,2024-10-31,0,0.9,"cdf","WNV cases"
"Riverside",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Riverside",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Fresno",2024-04-30,2024-05-31,0,0.9,"cdf","WNV cases"
"Fresno",2024-04-30,2024-06-30,0,0.5,"cdf","WNV cases"
"Fresno",2024-04-30,2024-07-31,0,0,"cdf","WNV cases"
"Fresno",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"Fresno",2024-04-30,2024-09-30,0,0,"cdf","WNV cases"
"Fresno",2024-04-30,2024-10-31,0,0,"cdf","WNV cases"
"Fresno",2024-04-30,2024-11-30,0,0.75,"cdf","WNV cases"
"Fresno",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Merced",2024-04-30,2024-05-31,0,0.75,"cdf","WNV cases"
"Merced",2024-04-30,2024-06-30,0,0.5,"cdf","WNV cases"
"Merced",2024-04-30,2024-07-31,0,0.5,"cdf","WNV cases"
"Merced",2024-04-30,2024-08-31,0,0.25,"cdf","WNV cases"
"Merced",2024-04-30,2024-09-30,0,0.2,"cdf","WNV cases"
"Merced",2024-04-30,2024-10-31,0,0.5,"cdf","WNV cases"
"Merced",2024-04-30,2024-11-30,0,0.8,"cdf","WNV cases"
"Merced",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Kern",2024-04-30,2024-05-31,0,0.75,"cdf","WNV cases"
"Kern",2024-04-30,2024-06-30,0,0.35,"cdf","WNV cases"
"Kern",2024-04-30,2024-07-31,0,0.2,"cdf","WNV cases"
"Kern",2024-04-30,2024-08-31,0,0.1,"cdf","WNV cases"
"Kern",2024-04-30,2024-09-30,0,0.1,"cdf","WNV cases"
"Kern",2024-04-30,2024-10-31,0,0.5,"cdf","WNV cases"
"Kern",2024-04-30,2024-11-30,0,0.75,"cdf","WNV cases"
"Kern",2024-04-30,2024-12-31,0,0.98,"cdf","WNV cases"
"Placer",2024-04-30,2024-05-31,0,0.95,"cdf","WNV cases"
"Placer",2024-04-30,2024-06-30,0,0.8,"cdf","WNV cases"
"Placer",2024-04-30,2024-07-31,0,0.75,"cdf","WNV cases"
"Placer",2024-04-30,2024-08-31,0,0.5,"cdf","WNV cases"
"Placer",2024-04-30,2024-09-30,0,0.75,"cdf","WNV cases"
"Placer",2024-04-30,2024-10-31,0,0.85,"cdf","WNV cases"
"Placer",2024-04-30,2024-11-30,0,0.95,"cdf","WNV cases"
"Placer",2024-04-30,2024-12-31,0,0.99,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-06-30,0,0.9,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-07-31,0,0.2,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-09-30,0,0,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-10-31,0,0.1,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-06-30,0,1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-07-31,0,0.5,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-08-31,0,0.1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-09-30,0,0.1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-10-31,0,0.1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-11-30,0,0.75,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-06-30,0,0.85,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-07-31,0,0,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-09-30,0,0,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-10-31,0,0,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-11-30,0,0.85,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
