"location","origin_date","target_date","output_type_id","value","output_type","target"
"Fresno",2024-04-30,2024-05-31,0,0.861,"cdf","WNV cases"
"Fresno",2024-04-30,2024-06-30,0,0.317,"cdf","WNV cases"
"Fresno",2024-04-30,2024-07-31,0,0,"cdf","WNV cases"
"Fresno",2024-04-30,2024-08-31,0,0.00099999999999989,"cdf","WNV cases"
"Fresno",2024-04-30,2024-09-30,0,0.027,"cdf","WNV cases"
"Fresno",2024-04-30,2024-10-31,0,0.317,"cdf","WNV cases"
"Fresno",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Fresno",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Kern",2024-04-30,2024-05-31,0,0.607,"cdf","WNV cases"
"Kern",2024-04-30,2024-06-30,0,0.223,"cdf","WNV cases"
"Kern",2024-04-30,2024-07-31,0,0,"cdf","WNV cases"
"Kern",2024-04-30,2024-08-31,0,0.00099999999999989,"cdf","WNV cases"
"Kern",2024-04-30,2024-09-30,0,0.002,"cdf","WNV cases"
"Kern",2024-04-30,2024-10-31,0,0.223,"cdf","WNV cases"
"Kern",2024-04-30,2024-11-30,0,0.607,"cdf","WNV cases"
"Kern",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-05-31,0,0.607,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-06-30,0,0.522,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-07-31,0,0,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-09-30,0,0,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-10-31,0,0,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-11-30,0,0.037,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-12-31,0,0.607,"cdf","WNV cases"
"Merced",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Merced",2024-04-30,2024-06-30,0,0.861,"cdf","WNV cases"
"Merced",2024-04-30,2024-07-31,0,0.522,"cdf","WNV cases"
"Merced",2024-04-30,2024-08-31,0,0.0609999999999999,"cdf","WNV cases"
"Merced",2024-04-30,2024-09-30,0,0.0609999999999999,"cdf","WNV cases"
"Merced",2024-04-30,2024-10-31,0,0.449,"cdf","WNV cases"
"Merced",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Merced",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Orange",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Orange",2024-04-30,2024-06-30,0,0.522,"cdf","WNV cases"
"Orange",2024-04-30,2024-07-31,0,0.005,"cdf","WNV cases"
"Orange",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"Orange",2024-04-30,2024-09-30,0,0,"cdf","WNV cases"
"Orange",2024-04-30,2024-10-31,0,0.039,"cdf","WNV cases"
"Orange",2024-04-30,2024-11-30,0,0.368,"cdf","WNV cases"
"Orange",2024-04-30,2024-12-31,0,0.861,"cdf","WNV cases"
"Placer",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-06-30,0,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-07-31,0,0.273,"cdf","WNV cases"
"Placer",2024-04-30,2024-08-31,0,0.116,"cdf","WNV cases"
"Placer",2024-04-30,2024-09-30,0,0.273,"cdf","WNV cases"
"Placer",2024-04-30,2024-10-31,0,0.607,"cdf","WNV cases"
"Placer",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Riverside",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Riverside",2024-04-30,2024-06-30,0,0.522,"cdf","WNV cases"
"Riverside",2024-04-30,2024-07-31,0,0.03,"cdf","WNV cases"
"Riverside",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"Riverside",2024-04-30,2024-09-30,0,0.00099999999999989,"cdf","WNV cases"
"Riverside",2024-04-30,2024-10-31,0,0.142,"cdf","WNV cases"
"Riverside",2024-04-30,2024-11-30,0,0.449,"cdf","WNV cases"
"Riverside",2024-04-30,2024-12-31,0,0.607,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-06-30,0,0.607,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-07-31,0,0.0159999999999999,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-08-31,0,0.002,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-09-30,0,0.01,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-10-31,0,0.368,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-06-30,0,0.861,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-07-31,0,0.012,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-09-30,0,0.00099999999999989,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-10-31,0,0.192,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-11-30,0,0.861,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-12-31,0,0.607,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-06-30,0,0.522,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-07-31,0,0.071,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-08-31,0,0.03,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-09-30,0,0.223,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-10-31,0,0.607,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-11-30,0,0.861,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-06-30,0,0.607,"cdf","WNV cases"
"Solano",2024-04-30,2024-07-31,0,0.522,"cdf","WNV cases"
"Solano",2024-04-30,2024-08-31,0,0.317,"cdf","WNV cases"
"Solano",2024-04-30,2024-09-30,0,0.522,"cdf","WNV cases"
"Solano",2024-04-30,2024-10-31,0,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-05-31,0,0.607,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-06-30,0,0.273,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-07-31,0,0.002,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-08-31,0,0,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-09-30,0,0.002,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-10-31,0,0.223,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-11-30,0,0.607,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-05-31,0,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-06-30,0,0.317,"cdf","WNV cases"
"Tulare",2024-04-30,2024-07-31,0,0.086,"cdf","WNV cases"
"Tulare",2024-04-30,2024-08-31,0,0.022,"cdf","WNV cases"
"Tulare",2024-04-30,2024-09-30,0,0.071,"cdf","WNV cases"
"Tulare",2024-04-30,2024-10-31,0,0.317,"cdf","WNV cases"
"Tulare",2024-04-30,2024-11-30,0,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-12-31,0,1,"cdf","WNV cases"
"Fresno",2024-04-30,2024-05-31,1,0.989857926891344,"cdf","WNV cases"
"Fresno",2024-04-30,2024-06-30,1,0.81517185972432,"cdf","WNV cases"
"Fresno",2024-04-30,2024-07-31,1,0.166437064583254,"cdf","WNV cases"
"Fresno",2024-04-30,2024-08-31,1,0.0262561563536096,"cdf","WNV cases"
"Fresno",2024-04-30,2024-09-30,1,0.128444684364156,"cdf","WNV cases"
"Fresno",2024-04-30,2024-10-31,1,0.81517185972432,"cdf","WNV cases"
"Fresno",2024-04-30,2024-11-30,1,1,"cdf","WNV cases"
"Fresno",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"Kern",2024-04-30,2024-05-31,1,0.607,"cdf","WNV cases"
"Kern",2024-04-30,2024-06-30,1,0.734793178084544,"cdf","WNV cases"
"Kern",2024-04-30,2024-07-31,1,0.0867069058736955,"cdf","WNV cases"
"Kern",2024-04-30,2024-08-31,1,0.146911580139169,"cdf","WNV cases"
"Kern",2024-04-30,2024-09-30,1,0.00203153903918774,"cdf","WNV cases"
"Kern",2024-04-30,2024-10-31,1,0.734793178084544,"cdf","WNV cases"
"Kern",2024-04-30,2024-11-30,1,0.607,"cdf","WNV cases"
"Kern",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-05-31,1,0.999999999831542,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-06-30,1,0.999999997939641,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-07-31,1,0.599019927706381,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-08-31,1,0.211226437603192,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-09-30,1,0.274390402552856,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-10-31,1,0.656902125712687,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-11-30,1,0.964645852200169,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-12-31,1,0.999999999831542,"cdf","WNV cases"
"Merced",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"Merced",2024-04-30,2024-06-30,1,0.861,"cdf","WNV cases"
"Merced",2024-04-30,2024-07-31,1,0.522,"cdf","WNV cases"
"Merced",2024-04-30,2024-08-31,1,0.471252838782757,"cdf","WNV cases"
"Merced",2024-04-30,2024-09-30,1,0.471252838782757,"cdf","WNV cases"
"Merced",2024-04-30,2024-10-31,1,0.449,"cdf","WNV cases"
"Merced",2024-04-30,2024-11-30,1,1,"cdf","WNV cases"
"Merced",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"Orange",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"Orange",2024-04-30,2024-06-30,1,0.995550076572408,"cdf","WNV cases"
"Orange",2024-04-30,2024-07-31,1,0.656902848085778,"cdf","WNV cases"
"Orange",2024-04-30,2024-08-31,1,0.522603734614654,"cdf","WNV cases"
"Orange",2024-04-30,2024-09-30,1,0.233821851516153,"cdf","WNV cases"
"Orange",2024-04-30,2024-10-31,1,0.756919609362243,"cdf","WNV cases"
"Orange",2024-04-30,2024-11-30,1,0.981031926388005,"cdf","WNV cases"
"Orange",2024-04-30,2024-12-31,1,0.999981449567184,"cdf","WNV cases"
"Placer",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-06-30,1,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-07-31,1,0.680388398128187,"cdf","WNV cases"
"Placer",2024-04-30,2024-08-31,1,0.55652411326187,"cdf","WNV cases"
"Placer",2024-04-30,2024-09-30,1,0.680388398128187,"cdf","WNV cases"
"Placer",2024-04-30,2024-10-31,1,0.607,"cdf","WNV cases"
"Placer",2024-04-30,2024-11-30,1,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"Riverside",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"Riverside",2024-04-30,2024-06-30,1,0.971648030351017,"cdf","WNV cases"
"Riverside",2024-04-30,2024-07-31,1,0.69659777372968,"cdf","WNV cases"
"Riverside",2024-04-30,2024-08-31,1,0.396990205789639,"cdf","WNV cases"
"Riverside",2024-04-30,2024-09-30,1,0.57527941797068,"cdf","WNV cases"
"Riverside",2024-04-30,2024-10-31,1,0.833798081775084,"cdf","WNV cases"
"Riverside",2024-04-30,2024-11-30,1,0.952472039021184,"cdf","WNV cases"
"Riverside",2024-04-30,2024-12-31,1,0.985670898843966,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-06-30,1,0.910030478169042,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-07-31,1,0.494433719645591,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-08-31,1,0.192808490051997,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-09-30,1,0.2430854477696,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-10-31,1,0.73587942141926,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-11-30,1,1,"cdf","WNV cases"
"Sacramento",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-06-30,1,0.99950041546436,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-07-31,1,0.627228465061355,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-08-31,1,0.536090406478881,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-09-30,1,0.562633651721777,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-10-31,1,0.850457335645339,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-11-30,1,0.99950041546436,"cdf","WNV cases"
"San Bernardino",2024-04-30,2024-12-31,1,0.985670898843966,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-06-30,1,0.522,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-07-31,1,0.58216075692011,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-08-31,1,0.0832594548217154,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-09-30,1,0.717047006968672,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-10-31,1,0.607,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-11-30,1,0.861,"cdf","WNV cases"
"San Joaquin",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-06-30,1,0.607,"cdf","WNV cases"
"Solano",2024-04-30,2024-07-31,1,0.522,"cdf","WNV cases"
"Solano",2024-04-30,2024-08-31,1,0.717427291776684,"cdf","WNV cases"
"Solano",2024-04-30,2024-09-30,1,0.522,"cdf","WNV cases"
"Solano",2024-04-30,2024-10-31,1,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-11-30,1,1,"cdf","WNV cases"
"Solano",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-05-31,1,0.607,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-06-30,1,0.708272548298636,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-07-31,1,0.00396323373069774,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-08-31,1,0.0000770264360054893,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-09-30,1,0.00396323373069774,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-10-31,1,0.671626986903198,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-11-30,1,0.607,"cdf","WNV cases"
"Stanislaus",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-05-31,1,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-06-30,1,0.724126025066246,"cdf","WNV cases"
"Tulare",2024-04-30,2024-07-31,1,0.496377670462182,"cdf","WNV cases"
"Tulare",2024-04-30,2024-08-31,1,0.0330560925602272,"cdf","WNV cases"
"Tulare",2024-04-30,2024-09-30,1,0.52538697102173,"cdf","WNV cases"
"Tulare",2024-04-30,2024-10-31,1,0.724126025066246,"cdf","WNV cases"
"Tulare",2024-04-30,2024-11-30,1,1,"cdf","WNV cases"
"Tulare",2024-04-30,2024-12-31,1,1,"cdf","WNV cases"
"Fresno",2024-04-30,2024-05-31,2,0.99950041546436,"cdf","WNV cases"
"Fresno",2024-04-30,2024-06-30,2,0.91881334540199,"cdf","WNV cases"
"Fresno",2024-04-30,2024-07-31,2,0.349238443404068,"cdf","WNV cases"
"Fresno",2024-04-30,2024-08-31,2,0.148613173437821,"cdf","WNV cases"
"Fresno",2024-04-30,2024-09-30,2,0.404752357187795,"cdf","WNV cases"
"Fresno",2024-04-30,2024-10-31,2,0.91881334540199,"cdf","WNV cases"
"Fresno",2024-04-30,2024-11-30,2,1,"cdf","WNV cases"
"Fresno",2024-04-30,2024-12-31,2,1,"cdf","WNV cases"
"Kern",2024-04-30,2024-05-31,2,0.910030478169042,"cdf","WNV cases"
"Kern",2024-04-30,2024-06-30,2,0.86062031649434,"cdf","WNV cases"
"Kern",2024-04-30,2024-07-31,2,0.227281970579867,"cdf","WNV cases"
"Kern",2024-04-30,2024-08-31,2,0.323275321616754,"cdf","WNV cases"
"Kern",2024-04-30,2024-09-30,2,0.00984979860856883,"cdf","WNV cases"
"Kern",2024-04-30,2024-10-31,2,0.86062031649434,"cdf","WNV cases"
"Kern",2024-04-30,2024-11-30,2,0.910030478169042,"cdf","WNV cases"
"Kern",2024-04-30,2024-12-31,2,1,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-05-31,2,1,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-06-30,2,1,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-07-31,2,0.805669360562106,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-08-31,2,0.458205290626807,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-09-30,2,0.474615126181262,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-10-31,2,0.802089061482737,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-11-30,2,0.996807501264794,"cdf","WNV cases"
"Los Angeles",2024-04-30,2024-12-31,2,1,"cdf","WNV cases"
"Merced",2024-04-30,2024-05-31,2,1,"cdf","WNV cases"
"Merced",2024-04-30,2024-06-30,2,0.861,"cdf","WNV cases"
"Merced",2024-04-30,2024-07-31,2,0.522,"cdf","WNV cases"
"Merced",2024-04-30,2024-08-31,2,0.597254052802654,"cdf","WNV cases"
"Merced",2024-04-30,2024-09-30,2,0.597254052802654,"cdf","WNV cases"
"Merced",2024-04-30,2024-10-31,2,0.449,"cdf","WNV cases"
"Merced",2024-04-30,2024-11-30,2,1,"cdf","WNV cases"
"Merced",2024-04-30,2024-12-31,2,1,"cdf","WNV cases"
"Orange",2024-04-30,2024-05-31,2,1,"cdf","WNV cases"
"Orange",2024-04-30,2024-06-30,2,0.999994473028614,"cdf","WNV cases"
"Orange",2024-04-30,2024-07-31,2,0.818270330434246,"cdf","WNV cases"
"Orange",2024-04-30,2024-08-31,2,0.677076859766389,"cdf","WNV cases"
"Orange",2024-04-30,2024-09-30,2,0.461080138376572,"cdf","WNV cases"
"Orange",2024-04-30,2024-10-31,2,0.89869783974019,"cdf","WNV cases"
"Orange",2024-04-30,2024-11-30,2,0.999916926129018,"cdf","WNV cases"
"Orange",2024-04-30,2024-12-31,2,0.99999999970724,"cdf","WNV cases"
"Placer",2024-04-30,2024-05-31,2,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-06-30,2,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-07-31,2,0.79658125762032,"cdf","WNV cases"
"Placer",2024-04-30,2024-08-31,2,0.688967901470752,"cdf","WNV cases"
"Placer",2024-04-30,2024-09-30,2,0.79658125762032,"cdf","WNV cases"
"Placer",2024-04-30,2024-10-31,2,0.607,"cdf","WNV cases"
"Placer",2024-04-30,2024-11-30,2,1,"cdf","WNV cases"
"Placer",2024-04-30,2024-12-31,2,1,"cdf","WNV cases"
