location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-04-30,2024-05-31,0,0.138871,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,1,0.267433,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,2,0.399961,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,3,0.552374,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,4,0.688262,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,5,0.781028,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,6,0.894756,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,8,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,10,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,15,1,cdf,WNV cases
Fresno,2024-04-30,2024-05-31,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,0,0.267433,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,1,0.399961,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,2,0.552374,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,3,0.688262,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,4,0.781028,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,5,0.894756,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,6,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,8,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,10,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,15,1,cdf,WNV cases
Fresno,2024-04-30,2024-06-30,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,0,0.399961,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,1,0.552374,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,2,0.688262,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,3,0.781028,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,4,0.894756,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,5,1,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,6,1,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,8,1,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,10,1,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,15,1,cdf,WNV cases
Fresno,2024-04-30,2024-07-31,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,0,0.552374,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,1,0.688262,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,2,0.781028,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,3,0.894756,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,4,1,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,5,1,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,6,1,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,8,1,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,10,1,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,15,1,cdf,WNV cases
Fresno,2024-04-30,2024-08-31,200,1,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,0,0.688262,cdf,WNV cases
Fresno,2024-04-30,2024-09-30,1,0.781028,cdf,WNV cases
